id,source_lat,source_long,target_lat,target_long,source,target,distance,slope,geometry,nearby_features,elevation_diff,is_uphill,across
1603,37.3902325,127.1188452,37.39006,127.1186871,4279931541,4279931542,46.883,0.7109897688572261,"LINESTRING (127.1188452 37.3902325, 127.1189043 37.3902048, 127.1189257 37.390175, 127.1189364 37.3901494, 127.1189311 37.3901174, 127.1188801 37.3900194, 127.1188318 37.3900066, 127.1187916 37.3900173, 127.1186871 37.39006)",none,-2.0,False,0
1604,37.39006,127.1186871,37.3901241,127.1185302,4279931542,4279931545,15.587,0.0,,none,0.0,False,0
1605,37.39006,127.1186871,37.3901241,127.1185302,4279931542,4279931545,62.729,0.0,"LINESTRING (127.1186871 37.39006, 127.1187943 37.3902602, 127.118636 37.3903156, 127.1185302 37.3901241)",none,0.0,False,0
1606,37.39006,127.1186871,37.3902325,127.1188452,4279931542,4279931541,46.883,-0.7109897688572261,"LINESTRING (127.1186871 37.39006, 127.1187916 37.3900173, 127.1188318 37.3900066, 127.1188801 37.3900194, 127.1189311 37.3901174, 127.1189364 37.3901494, 127.1189257 37.390175, 127.1189043 37.3902048, 127.1188452 37.3902325)",none,2.0,True,0
1607,37.3901241,127.1185302,37.39006,127.1186871,4279931545,4279931542,15.587,0.0,,none,0.0,False,0
1608,37.3901241,127.1185302,37.39006,127.1186871,4279931545,4279931542,62.729,0.0,"LINESTRING (127.1185302 37.3901241, 127.118636 37.3903156, 127.1187943 37.3902602, 127.1186871 37.39006)",none,0.0,False,0
1609,37.3901241,127.1185302,37.3902432,127.1177918,4279931545,4279928083,68.323,0.0,"LINESTRING (127.1185302 37.3901241, 127.1183276 37.3902069, 127.1182417 37.3902346, 127.1181532 37.3902496, 127.1180862 37.390256, 127.1177918 37.3902432)",none,0.0,False,0
1610,37.3913087,127.1176061,37.3911239,127.1178322,4279933660,4279933663,28.657,0.0,,none,0.0,False,0
1611,37.3913087,127.1176061,37.3911239,127.1178322,4279933660,4279933663,64.434,0.0,"LINESTRING (127.1176061 37.3913087, 127.1177536 37.3914238, 127.1179735 37.3912341, 127.1178322 37.3911239)",none,0.0,False,0
1612,37.3913087,127.1176061,37.391183,127.1174666,4279933660,4279933665,18.635,0.0,,none,0.0,False,0
1613,37.3911239,127.1178322,37.3913087,127.1176061,4279933663,4279933660,28.657,0.0,,none,0.0,False,0
1614,37.3911239,127.1178322,37.3913087,127.1176061,4279933663,4279933660,64.434,0.0,"LINESTRING (127.1178322 37.3911239, 127.1179735 37.3912341, 127.1177536 37.3914238, 127.1176061 37.3913087)",none,0.0,False,0
1615,37.3911239,127.1178322,37.391021,127.1179568,4279933663,4279928692,15.877,0.0,,none,0.0,False,0
